# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
5.000000e+01 6.000000e+01 5.372868e+02 6.666170e-02 6.666170e-02
6.000000e+01 7.000000e+01 2.541262e+02 3.754818e-02 3.754818e-02
7.000000e+01 8.000000e+01 1.328713e+02 2.223713e-02 2.223713e-02
8.000000e+01 9.000000e+01 7.498046e+01 1.288849e-02 1.288849e-02
9.000000e+01 1.000000e+02 4.485615e+01 8.112138e-03 8.112138e-03
1.000000e+02 1.100000e+02 2.814462e+01 5.589466e-03 5.589466e-03
1.100000e+02 1.200000e+02 1.836272e+01 4.108253e-03 4.108253e-03
1.200000e+02 1.300000e+02 1.236612e+01 2.994623e-03 2.994623e-03
1.300000e+02 1.400000e+02 8.570310e+00 2.197776e-03 2.197776e-03
1.400000e+02 1.500000e+02 6.078519e+00 1.747867e-03 1.747867e-03
1.500000e+02 2.000000e+02 2.671950e+00 2.896578e-04 2.896578e-04
2.000000e+02 2.500000e+02 7.374340e-01 1.004660e-04 1.004660e-04
2.500000e+02 3.000000e+02 2.592971e-01 4.449692e-05 4.449692e-05
3.000000e+02 3.500000e+02 1.086619e-01 1.414099e-05 1.414099e-05
3.500000e+02 4.000000e+02 5.107734e-02 7.192581e-06 7.192581e-06
4.000000e+02 4.500000e+02 2.591962e-02 3.966302e-06 3.966302e-06
4.500000e+02 5.000000e+02 1.396912e-02 2.398509e-06 2.398509e-06
5.000000e+02 5.500000e+02 7.909452e-03 1.535330e-06 1.535330e-06
5.500000e+02 6.000000e+02 4.661567e-03 1.017136e-06 1.017136e-06
6.000000e+02 6.500000e+02 2.839864e-03 5.001552e-07 5.001552e-07
6.500000e+02 7.000000e+02 1.781144e-03 3.273844e-07 3.273844e-07
7.000000e+02 7.500000e+02 1.145028e-03 2.187918e-07 2.187918e-07
7.500000e+02 8.000000e+02 7.514731e-04 1.554737e-07 1.554737e-07
8.000000e+02 8.500000e+02 5.025812e-04 1.195072e-07 1.195072e-07
8.500000e+02 9.000000e+02 3.414550e-04 9.152303e-08 9.152303e-08
9.000000e+02 9.500000e+02 2.354849e-04 6.038614e-08 6.038614e-08
9.500000e+02 1.000000e+03 1.644343e-04 4.580616e-08 4.580616e-08
1.000000e+03 1.100000e+03 9.948899e-05 1.328875e-08 1.328875e-08
1.100000e+03 1.200000e+03 5.153295e-05 7.009792e-09 7.009792e-09
1.200000e+03 1.300000e+03 2.755933e-05 4.322495e-09 4.322495e-09
1.300000e+03 1.400000e+03 1.513754e-05 2.497479e-09 2.497479e-09
1.400000e+03 1.600000e+03 6.680092e-06 8.288174e-10 8.288174e-10
1.600000e+03 1.800000e+03 2.240945e-06 3.550844e-10 3.550844e-10
1.800000e+03 2.000000e+03 7.887985e-07 1.614970e-10 1.614970e-10
2.000000e+03 2.200000e+03 2.868967e-07 2.767011e-11 2.767011e-11
2.200000e+03 2.400000e+03 1.066041e-07 1.125794e-11 1.125794e-11
2.400000e+03 2.600000e+03 4.008924e-08 5.052700e-12 5.052700e-12
2.600000e+03 2.800000e+03 1.514184e-08 2.318947e-12 2.318947e-12
2.800000e+03 3.000000e+03 5.708926e-09 1.073175e-12 1.073175e-12
3.000000e+03 6.500000e+03 1.930692e-10 3.009766e-14 3.009766e-14
# END HISTO1D

# BEGIN HISTO1D aj_pTV_K_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 2.075080e+00 4.808362e-05 4.808362e-05
4.000000e+01 5.000000e+01 1.966741e+00 5.814961e-05 5.814961e-05
5.000000e+01 6.000000e+01 1.897211e+00 7.246237e-05 7.246237e-05
6.000000e+01 7.000000e+01 1.830677e+00 8.766390e-05 8.766390e-05
7.000000e+01 8.000000e+01 1.790798e+00 1.058457e-04 1.058457e-04
8.000000e+01 9.000000e+01 1.787054e+00 6.474108e-05 6.474108e-05
9.000000e+01 1.000000e+02 1.735137e+00 6.656171e-05 6.656171e-05
1.000000e+02 1.100000e+02 1.740457e+00 7.413629e-05 7.413629e-05
1.100000e+02 1.200000e+02 1.715069e+00 8.129208e-05 8.129208e-05
